station_name,station_id,capacity,mechanical_bikes,electric_bikes,total_bikes_available,available_docks,latitude,longitude,commune_code,commune_name,is_installed,is_renting,is_returning,updated_at
Gare d'Austerlitz - Quai Saint-Bernard,13104,27,21,3,24,2,48.84369030864,2.3657163977623,75056,Paris,True,True,True,2026-03-12T15:37:44+00:00
Gare Saint-Lazare - Isly,8009,27,4,2,6,21,48.874777677621296,2.326515804784655,75056,Paris,True,True,True,2026-03-12T15:37:24+00:00
Porte Pouchet-Bessières,17008,23,5,3,8,15,48.8978765,2.3230632,75056,Paris,True,True,True,2026-03-12T15:38:11+00:00
Ségur - d'Estrées,7018,19,9,1,10,8,48.851419978983,2.3097044974566,75056,Paris,True,True,True,2026-03-12T15:32:08+00:00
Jean Jaurès - Bouret,19207,32,2,5,7,25,48.883144703938,2.3712364995651,75056,Paris,True,True,True,2026-03-12T15:37:40+00:00
Place Georges Guillaumin,8053,29,8,0,8,21,48.874750203957,2.301771435326,75056,Paris,True,True,True,2026-03-12T15:34:54+00:00
Boudreau - Auber,9106,28,22,4,26,1,48.87219,2.329423,75056,Paris,True,True,True,2026-03-12T15:38:10+00:00
Ambroise Rendu - Porte Brunet,19105,17,0,4,4,11,48.883667,2.395733,75056,Paris,True,True,True,2026-03-12T15:37:25+00:00
Thionville - Ourcq,19015,24,0,1,1,21,48.88917613743794,2.3833653330802917,75056,Paris,True,True,True,2026-03-12T15:30:52+00:00
Legendre - Clichy,17004,40,3,7,10,29,48.88896161855884,2.322528975094376,75056,Paris,True,True,True,2026-03-12T15:37:27+00:00
Gare de Lyon - Place Louis Armand,12151,60,45,12,57,3,48.845515089794,2.3726498446286,75056,Paris,True,True,True,2026-03-12T15:35:34+00:00
Lieutenant Colonel Prudhon - Repos,51006,26,0,0,0,26,48.946800700149,2.2380727982588,95018,Argenteuil,True,False,False,2025-10-27T09:36:39+00:00
Pesaro - Préfecture,92007,22,3,6,9,12,48.89577046284005,2.223908342421055,92050,Nanterre,True,True,True,2026-03-12T15:37:24+00:00
Ranelagh - Mozart,16026,23,3,0,3,19,48.8554439,2.2704418,75056,Paris,True,True,True,2026-03-12T15:37:34+00:00
Gare du Nord - Hôpital Lariboisière,10107,49,0,4,4,44,48.881949,2.352339,75056,Paris,True,True,True,2026-03-12T15:33:35+00:00
Claude Decaen - Cannebière,12111,45,2,4,6,38,48.83761417037952,2.397253782195704,75056,Paris,True,True,True,2026-03-12T15:36:18+00:00
Amelot - Saint-Sébastien,11047,30,24,2,26,4,48.861142162761,2.3677996181077,75056,Paris,True,True,True,2026-03-12T15:38:08+00:00
Chartres - La Charbonnière,18107,34,2,3,5,28,48.8847601,2.3534657,75056,Paris,True,True,True,2026-03-12T15:33:26+00:00
Desaix - Edgar Faure,15067,12,3,5,8,4,48.852804604940296,2.293077029857222,75056,Paris,True,True,True,2026-03-12T15:32:41+00:00
Sablons - Georges Mandel,16108,38,0,1,1,37,48.863875,2.28189,75056,Paris,True,True,True,2026-03-12T15:32:03+00:00
Mairie de Montreuil,31022,52,0,10,10,41,48.86131452758348,2.440614402294159,93048,Montreuil,True,True,True,2026-03-12T15:34:20+00:00
Rouget de Lisle,46002,35,8,11,19,15,48.764615483395254,2.4071189761161804,94022,Choisy-le-Roi,True,True,True,2026-03-12T15:36:43+00:00
Quai de la Seine,19003,24,5,6,11,12,48.884492238408,2.3703941702843,75056,Paris,True,True,True,2026-03-12T15:32:32+00:00
Place Du Général De Gaulle,31009,26,0,1,1,25,48.8687591,2.4329931,93048,Montreuil,True,True,True,2026-03-12T15:34:46+00:00
Cimetière de Montrouge,14020,58,4,3,7,50,48.821466904768,2.3215785772007,75056,Paris,True,True,True,2026-03-12T15:28:24+00:00
Pajol - Place Herbert,18011,39,3,6,9,30,48.8927825,2.3635598,75056,Paris,True,True,True,2026-03-12T15:37:22+00:00
Marne - Germain Dardan,21212,22,0,3,3,17,48.81217465201,2.3035024699104,92049,Montrouge,True,True,True,2026-03-12T15:32:47+00:00
Carducci - Place Hannah Arendt,19120,27,0,2,2,24,48.877436681515796,2.3860743641853337,75056,Paris,True,True,True,2026-03-12T15:37:30+00:00
Richard Lenoir - Republique,11113,58,19,1,20,37,48.8667175,2.3692541,75056,Paris,True,True,True,2026-03-12T15:38:08+00:00
Schoelcher - Raspail,14003,50,1,0,1,48,48.83681733526843,2.3312794080411474,75056,Paris,True,True,True,2026-03-12T15:34:20+00:00
Mutualité,5018,37,20,6,26,10,48.848225572724,2.3502873256803,75056,Paris,True,True,True,2026-03-12T15:38:14+00:00
Square Simon Bolivar,19101,24,0,8,8,12,48.875089888322,2.3826304078102,75056,Paris,True,True,True,2026-03-12T15:37:26+00:00
Paul Bodin - Clichy,17204,33,6,4,10,22,48.892594758409,2.3171403311203,75056,Paris,True,True,True,2026-03-12T15:35:35+00:00
Lobau - Hôtel de Ville,4016,60,24,3,27,33,48.8562118,2.3532536,75056,Paris,True,True,True,2026-03-12T15:38:11+00:00
Rocher - Laborde,8017,65,0,2,2,61,48.87590240712654,2.322616316378116,75056,Paris,True,True,True,2026-03-12T15:37:22+00:00
Lecourbe - Jean Maridor,15054,19,3,3,6,13,48.83796366147599,2.2877392172813416,75056,Paris,True,True,True,2026-03-12T15:38:15+00:00
Grenelle - Violet,15106,35,24,6,30,4,48.84993035512154,2.294612042605877,75056,Paris,True,True,True,2026-03-12T15:37:07+00:00
Guy Môquet - Etienne Dolet,22406,23,1,2,3,19,48.81527009991819,2.298078276995073,92046,Malakoff,True,True,True,2026-03-12T15:34:33+00:00
Boissière - Etienne Dolet,31102,21,0,3,3,16,48.876111,2.4677312,93048,Montreuil,True,True,True,2026-03-12T15:37:18+00:00
Cevennes - Bergers,15109,29,23,6,29,0,48.84240765130395,2.281037718057633,75056,Paris,True,True,True,2026-03-12T15:38:12+00:00
Place de la Reine Astrid,8045,58,11,6,17,38,48.864920982538,2.3025491823859,75056,Paris,True,True,True,2026-03-12T15:38:08+00:00
Place Marcel Cachin,42014,32,26,4,30,1,48.81411442356866,2.39090770483017,94041,Ivry-sur-Seine,True,True,True,2026-03-12T15:37:45+00:00
Hôtel de Ville de Boulogne Billancourt,21005,26,14,5,19,5,48.834958851668,2.2416803240776,92012,Boulogne-Billancourt,True,True,True,2026-03-12T15:38:06+00:00
Place Robert Guillemard,15110,24,16,2,18,5,48.836191728066666,2.2811267160086417,75056,Paris,True,True,True,2026-03-12T15:37:45+00:00
Marcelin Berthelot,21006,27,15,3,18,9,48.8415473058801,2.233161628246308,92012,Boulogne-Billancourt,True,True,True,2026-03-12T15:33:40+00:00
Edouard Tremblay - Julian Grimaux,44013,30,0,1,1,28,48.781383825117,2.3723508417606,94081,Vitry-sur-Seine,True,True,True,2026-03-12T15:37:58+00:00
Hoche - Jean Lolive,35010,24,0,9,9,13,48.891102392008,2.4028435349464,93055,Pantin,True,True,True,2026-03-12T15:37:42+00:00
Nationale - Place Jules Guesde,21015,23,15,5,20,3,48.82753962462998,2.2416052222251897,92012,Boulogne-Billancourt,True,True,True,2026-03-12T15:37:28+00:00
Gabriel Péri - Danielle Casanova,44003,20,2,5,7,13,48.790114,2.4025777,94081,Vitry-sur-Seine,True,True,True,2026-03-12T15:34:17+00:00
Censier - Jardin des Plantes,5028,28,16,5,21,6,48.84107178161383,2.355475388467312,75056,Paris,True,True,True,2026-03-12T15:34:14+00:00
Karl Marx,48010,16,0,1,1,14,48.784527937293184,2.3646667979455587,94076,Villejuif,True,True,True,2026-03-12T15:31:59+00:00
Gare Rer de Fontenay sous Bois,41202,61,15,2,17,44,48.8436279,2.4630465,94033,Fontenay-sous-Bois,True,True,True,2026-03-12T15:36:24+00:00
Cossonnerie - Sébastopol,1119,24,10,14,24,0,48.86132665908402,2.349419631063938,75056,Paris,True,True,True,2026-03-12T15:36:01+00:00
